source_code,target_code,target_display,dosage,dosage_unit
"DOPAMINA CLORHIDRATO 40 MG /ML X 5 ML P / INF IV","C01CA04","Dopamine","200","mg"
"FENOTEROL 0.5 % X20 ML SOL.P/NEB.FR.GOTE","R03AC04","Fenoterol","100","mg"
"NISTATINA 100,000 U.I./ML GOTAS ORALES X 12 ML","A07AA02","Nystatin","1200000","ui/ml"
"INSULINA ISOFANA HUMANA (NPH) (ADN RECOMBINANTE) 100 UI / ML X 10 ML","A10AD01","Insulin (human)","1000","ui"
"CIPROFLOXACINO (COMO CLORHIDRATO) 0.3 % X 5 ML GOTAS OFTÁLMICAS","J01MA02","Ciprofloxacin","15","mg"
"FLUTICASONA 125 MCG Ó 0.125 MG / DOSIS X 120 DOSIS AEROSOL","R01AD12","Fluticasone furoate","15","mg"
"COLISTIMETATO SÓDICO O COLISTINA 100 - 150 MG DE COLISTINA BASE","J01XB01","Colistin","100","mg"
"PIPERACILINA/TAZOBACTAN 4 G + 500 MG IV","J01CR05","Piperacillin and beta-lactamase inhibitor","4500","mg"
"IPRATROPIO BROMURO 20 µG P / DOSIS X 200 DOSIS AEROSOL PARA INHALACIÓN","R03BB01","Ipratropium bromide","4000","ug"
"GLUCONATO DE CALCIO 10 % (EQUIVALENTE 8.4 MG / ML CA) X 10 ML","A12AA03","Calcium gluconate","1000","mg"
"FLUTICASONA PROPIONATO + SALMETEROL (COMO XINAFOATO) 250 MCG + 25 MCG/DÓSIS X 120 DÓSIS AEROSOL","R03AK06","Salmeterol and fluticasone","33000","mcg"
"FLUTICASONA PROPIONATO + SALMETEROL (COMO XINAFOATO) 125 MCG + 25 MCG/DÓSIS X 120 DÓSIS AEROSOL","R03AK06","Salmeterol and fluticasone","18000","mcg"
"BISMUTO SUBSALICILATO 87.33-87.50 MG/5 ML SUSPENSIÓN ORAL X 240 A 340 ML","A07BB","Bismuth preparations","4191.84","mg"
"AMPICILINA(C/SAL SÓDICA)+SULBACTAM(C/SAL","J01CR01","Ampicillin and beta-lactamase inhibitor"
