"source_code","target_code","target_name"
"1786198013","I20","Ischemic Heart Disease"
"1823891000006113","I20","Ischemic Heart Disease"
"208365015","I20","Ischemic Heart Disease"
"212061000006119","I20","Ischemic Heart Disease"
"212071000006114","I20","Ischemic Heart Disease"
"212081000006112","I20","Ischemic Heart Disease"
"212091000006110","I20","Ischemic Heart Disease"
"2160096015","I20","Ischemic Heart Disease"
"216351000006118","I20","Ischemic Heart Disease"
"219521000000119","I20","Ischemic Heart Disease"
"219531000000117","I20","Ischemic Heart Disease"
"220231000000118","I20","Ischemic Heart Disease"
"238561000006119","I20","Ischemic Heart Disease"
"238571000006114","I20","Ischemic Heart Disease"
"238641000006117","I20","Ischemic Heart Disease"
"238651000006115","I20","Ischemic Heart Disease"
"238821000006111","I20","Ischemic Heart Disease"
"250931000006117","I20","Ischemic Heart Disease"
"250941000006110","I20","Ischemic Heart Disease"
"2534664018","I20","Ischemic Heart Disease"
"2534674015","I20","Ischemic Heart Disease"
"2535176014","I20","Ischemic Heart Disease"
"2535177017","I20","Ischemic Heart Disease"
"2536354015","I20","Ischemic Heart Disease"
"2536393012","I20","Ischemic Heart Disease"
"2536395017","I20","Ischemic Heart Disease"
"2537480011","I20","Ischemic Heart Disease"
"2555421000006114","I20","Ischemic Heart Disease"
"2555471000006110","I20","Ischemic Heart Disease"
"256451015","I20","Ischemic Heart Disease"
"256452010","I20","Ischemic Heart Disease"
"256454011","I20","Ischemic Heart Disease"
"256455012","I20","Ischemic Heart Disease"
"256457016","I20","Ischemic Heart Disease"
"256458014","I20","Ischemic Heart Disease"
"256459018","I20","Ischemic Heart Disease"
"256460011","I20","Ischemic Heart Disease"
"2571561000006118","I20","Ischemic Heart Disease"
"2571571000006113","I20","Ischemic Heart Disease"
"2619484018","I20","Ischemic Heart Disease"
"2663441000006117","I20","Ischemic Heart Disease"
"2676611000006115","I20","Ischemic Heart Disease"
"2676631000006114","I20","Ischemic Heart Disease"
"2676641000006116","I20","Ischemic Heart Disease"
"271073015","I20","Ischemic Heart Disease"
"271074014","I20","Ischemic Heart Disease"
"271075010","I20","Ischemic Heart Disease"
"271079016","I20","Ischemic Heart Disease"
"271080018","I20","Ischemic Heart Disease"
"271081019","I20","Ischemic Heart Disease"
"271082014","I20","Ischemic Heart Disease"
"271083016","I20","Ischemic Heart Disease"
"271084010","I20","Ischemic Heart Disease"
"271086012","I20","Ischemic Heart Disease"
"271087015","I20","Ischemic Heart Disease"
"271088013","I20","Ischemic Heart Disease"
"271089017","I20","Ischemic Heart Disease"
"271092018","I20","Ischemic Heart Disease"
"271093011","I20","Ischemic Heart Disease"
"271094017","I20","Ischemic Heart Disease"
"271095016","I20","Ischemic Heart Disease"
"271096015","I20","Ischemic Heart Disease"
"271097012","I20","Ischemic Heart Disease"
"271098019","I20","Ischemic Heart Disease"
"271099010","I20","Ischemic Heart Disease"
"271100019","I20","Ischemic Heart Disease"
"271101015","I20","Ischemic Heart Disease"
"271102010","I20","Ischemic Heart Disease"
"271103017","I20","Ischemic Heart Disease"
"271104011","I20","Ischemic Heart Disease"
"271105012","I20","Ischemic Heart Disease"
